X , P1AncestryProportion , P2AncestryProportion , P3AncestryProportion , P4AncestryProportion , P5AncestryProportion , P6AncestryProportion , P7AncestryProportion , P8AncestryProportion
290 , 0.117647 , 0.117647 , 0.0 , 0.235294 , 0.0588235 , 0.235294 , 0.0 , 0.235294
291 , 0.130435 , 0.478261 , 0.0434783 , 0.0 , 0.0 , 0.0869565 , 0.130435 , 0.130435
292 , 0.0416667 , 0.125 , 0.291667 , 0.0 , 0.0 , 0.0416667 , 0.25 , 0.25
293 , 0.0714286 , 0.285714 , 0.0714286 , 0.0 , 0.0 , 0.214286 , 0.0 , 0.357143
294 , 0.0909091 , 0.454545 , 0.0 , 0.0 , 0.0 , 0.272727 , 0.0 , 0.181818
295 , 0.185185 , 0.111111 , 0.0740741 , 0.0740741 , 0.0 , 0.259259 , 0.148148 , 0.148148
296 , 0.0833333 , 0.166667 , 0.0833333 , 0.0833333 , 0.0 , 0.0 , 0.0833333 , 0.5
297 , 0.0 , 0.529412 , 0.0 , 0.0588235 , 0.0 , 0.176471 , 0.117647 , 0.117647
298 , 0.0526316 , 0.157895 , 0.157895 , 0.105263 , 0.0 , 0.210526 , 0.0 , 0.315789
299 , 0.0 , 0.5 , 0.3 , 0.1 , 0.0 , 0.0 , 0.1 , 0.0
300 , 0.285714 , 0.285714 , 0.142857 , 0.0 , 0.0 , 0.047619 , 0.047619 , 0.190476
301 , 0.0909091 , 0.5 , 0.0 , 0.0454545 , 0.0454545 , 0.0909091 , 0.0 , 0.227273
302 , 0.25 , 0.375 , 0.0 , 0.0625 , 0.0 , 0.0625 , 0.0625 , 0.1875
303 , 0.210526 , 0.368421 , 0.0 , 0.0526316 , 0.0 , 0.0 , 0.105263 , 0.263158
304 , 0.230769 , 0.307692 , 0.230769 , 0.0769231 , 0.0 , 0.0769231 , 0.0 , 0.0769231
305 , 0.111111 , 0.166667 , 0.111111 , 0.111111 , 0.0 , 0.111111 , 0.388889 , 0.0
306 , 0.047619 , 0.428571 , 0.0952381 , 0.0 , 0.0 , 0.0952381 , 0.047619 , 0.285714
307 , 0.375 , 0.1875 , 0.0 , 0.0 , 0.0 , 0.125 , 0.0 , 0.3125
308 , 0.0666667 , 0.333333 , 0.2 , 0.0666667 , 0.0 , 0.0 , 0.2 , 0.133333
309 , 0.0 , 0.615385 , 0.0 , 0.0 , 0.0 , 0.0769231 , 0.230769 , 0.0769231
310 , 0.142857 , 0.428571 , 0.0 , 0.0 , 0.0 , 0.0 , 0.285714 , 0.142857
311 , 0.222222 , 0.0555556 , 0.0 , 0.222222 , 0.0 , 0.111111 , 0.0 , 0.388889
312 , 0.105263 , 0.473684 , 0.157895 , 0.0526316 , 0.0 , 0.105263 , 0.0 , 0.105263
313 , 0.0526316 , 0.157895 , 0.0526316 , 0.105263 , 0.0 , 0.105263 , 0.157895 , 0.368421
314 , 0.421053 , 0.105263 , 0.0 , 0.0 , 0.0 , 0.0526316 , 0.0 , 0.421053
315 , 0.0 , 0.333333 , 0.0 , 0.0 , 0.0 , 0.166667 , 0.0 , 0.5
316 , 0.0833333 , 0.25 , 0.166667 , 0.0 , 0.0 , 0.166667 , 0.0833333 , 0.25
317 , 0.111111 , 0.111111 , 0.222222 , 0.166667 , 0.0555556 , 0.0555556 , 0.0555556 , 0.222222
318 , 0.133333 , 0.333333 , 0.2 , 0.0666667 , 0.0 , 0.0666667 , 0.0 , 0.2
319 , 0.227273 , 0.136364 , 0.0909091 , 0.0 , 0.0 , 0.181818 , 0.0909091 , 0.272727
320 , 0.0625 , 0.375 , 0.0 , 0.0 , 0.0 , 0.125 , 0.0 , 0.4375
321 , 0.181818 , 0.454545 , 0.0 , 0.0909091 , 0.0 , 0.181818 , 0.0 , 0.0909091
322 , 0.25 , 0.3125 , 0.0 , 0.0 , 0.0 , 0.1875 , 0.0625 , 0.1875
323 , 0.12 , 0.52 , 0.0 , 0.0 , 0.08 , 0.0 , 0.0 , 0.28
324 , 0.0625 , 0.5 , 0.0 , 0.0625 , 0.0 , 0.1875 , 0.1875 , 0.0
325 , 0.117647 , 0.294118 , 0.294118 , 0.0 , 0.0 , 0.117647 , 0.0 , 0.176471
326 , 0.0625 , 0.4375 , 0.0 , 0.0 , 0.0 , 0.125 , 0.0625 , 0.3125
327 , 0.0 , 0.388889 , 0.111111 , 0.0555556 , 0.111111 , 0.166667 , 0.0 , 0.166667
328 , 0.2 , 0.4 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.4
329 , 0.210526 , 0.105263 , 0.315789 , 0.0 , 0.0 , 0.105263 , 0.0 , 0.263158
330 , 0.0666667 , 0.333333 , 0.266667 , 0.0666667 , 0.0 , 0.0666667 , 0.0666667 , 0.133333
331 , 0.2 , 0.0666667 , 0.2 , 0.133333 , 0.0 , 0.0666667 , 0.0 , 0.333333
332 , 0.26087 , 0.173913 , 0.173913 , 0.0869565 , 0.0434783 , 0.0434783 , 0.0 , 0.217391
333 , 0.285714 , 0.142857 , 0.285714 , 0.0 , 0.0 , 0.0 , 0.0 , 0.285714
334 , 0.0 , 0.166667 , 0.0 , 0.0 , 0.0 , 0.0833333 , 0.0 , 0.75
335 , 0.107143 , 0.571429 , 0.142857 , 0.0357143 , 0.0 , 0.0 , 0.0 , 0.142857
336 , 0.2 , 0.1 , 0.1 , 0.0 , 0.0 , 0.5 , 0.0 , 0.1
337 , 0.347826 , 0.0869565 , 0.0 , 0.0869565 , 0.0 , 0.173913 , 0.26087 , 0.0434783
338 , 0.1 , 0.4 , 0.0 , 0.15 , 0.0 , 0.1 , 0.0 , 0.25
339 , 0.0526316 , 0.315789 , 0.0 , 0.315789 , 0.0 , 0.0 , 0.105263 , 0.210526
